"","Time","Price","Country"
"1",1,3432.92152311793,1
"2",3,3417.33212387432,1
"3",5,3395.81816215715,1
"4",7,3440.11306502886,1
"5",9,3372.62352577024,1
"6",11,3379.51647406115,1
"7",13,3397.71244974581,1
"8",15,3414.25424001307,1
"9",17,3239.08353024781,1
"10",19,3165.39653047548,1
"11",21,3171.40144180838,1
"12",23,3190.29622786534,1
"13",25,3412.15708209846,1
"14",27,3090.41256415399,1
"15",29,3409.88348286405,1
"16",31,3112.47475030024,1
"17",33,3149.45562757978,1
"18",35,3409.85534212796,1
"19",37,3277.77556558378,1
"20",39,3507.52267064811,1
"21",41,3352.4873378669,1
"22",43,3414.06429535872,1
"23",45,3178.64776162595,1
"24",47,3003.92899411725,1
"25",49,3087.29566495893,1
"26",51,3000.19283002214,1
"27",53,2763.06510538729,1
"28",55,3039.25884406257,1
"29",57,2900.2316849575,1
"30",59,2970.76530681693,1
"31",61,3131.26444737878,1
"32",63,3116.08998349984,1
"33",65,3078.68601720999,1
"34",67,2915.36567043989,1
"35",69,2893.3828437497,1
"36",71,2780.32780615202,1
"37",73,2784.11259071117,1
"38",75,2671.74130833681,1
"39",77,2973.79898970025,1
"40",79,2990.99229511149,1
"41",81,2413.3987025382,1
"42",83,2634.72495848687,1
"43",85,2937.60935510224,1
"44",87,2888.30152518181,1
"45",89,2635.47199249774,1
"46",91,2901.97932197201,1
"47",93,2705.41849777954,1
"48",95,2405.09243293216,1
"49",97,3044.67689845425,1
"50",99,3042.90424562749,1
"51",101,2542.37430908832,1
"52",103,2521.44295240574,1
"53",105,2606.39150780522,1
"54",107,2479.95623017662,1
"55",109,2828.9501136271,1
"56",111,2661.5147321061,1
"57",113,2511.40914651502,1
"58",115,2846.63415907067,1
"59",117,2672.90540643475,1
"60",119,2741.10775769409,1
"61",121,2300.9778938712,1
"62",123,2444.89028624559,1
"63",125,2849.16387359861,1
"64",127,2752.22367752115,1
"65",129,2808.07480101162,1
"66",131,2527.16361285076,1
